start_station_name,trip_count,latitude,longitude
14th & Rhode Island Ave NW,23871,38.9086,-77.0323
14th & V St NW,25222,38.917931,-77.032112
14th St & New York Ave NW,10950,38.899632,-77.031686
14th St & Spring Rd NW,7349,38.9375,-77.0328
14th St Heights / 14th & Crittenden St NW,2281,38.947774,-77.032818
15th & P St NW,32884,38.90985,-77.034438
15th St & Massachusetts Ave SE,47,38.88732,-76.98356899999997
16th & Harvard St NW,18322,38.926088,-77.036536
17th & Corcoran St NW,28160,38.9121,-77.0387
17th & K St NW,15777,38.90276,-77.03863
17th & K St NW / Farragut Square,10359,38.902061,-77.038322
18th & M St NW,17373,38.905067,-77.041779
18th St & Pennsylvania Ave NW,637,38.89968,-77.041539
19th & E Street NW,6879,38.8952,-77.0436
19th & East Capitol St SE,3044,38.8896,-76.9769
19th & L St NW,13265,38.903407,-77.043648
19th St & Constitution Ave NW,14674,38.8923,-77.0436
19th St & Pennsylvania Ave NW,14118,38.9003,-77.0429
1st & M St NE,12906,38.9057,-77.0056
1st & N St  SE,2785,38.8743,-77.0057
1st & Rhode Island Ave NW,438,38.915417,-77.012289
20th & E St NW,12973,38.8963,-77.045
20th St & Florida Ave NW,23971,38.9154,-77.0446
21st & I St NW,23574,38.9008,-77.047
21st & M St NW,17764,38.90534,-77.046774
21st St & Constitution Ave NW,87,38.892459,-77.04656700000002
25th St & Pennsylvania Ave NW,19125,38.903827,-77.053485
3000 Connecticut Ave NW / National Zoo,99,38.930282,-77.055599
34th St & Wisconsin Ave NW,5164,38.916442,-77.0682
36th & Calvert St NW / Glover Park,4898,38.922581,-77.070334
37th & O St NW / Georgetown University,8654,38.90774,-77.071652
3rd & D St SE,13066,38.8851,-77.0023
3rd & G St SE,329,38.881185,-77.001828
3rd & H St NE,11661,38.900412,-77.001949
3rd & H St NW,12535,38.899408,-77.015289
4th & D St NW / Judiciary Square,3471,38.895344,-77.01610600000002
4th & E St SW,372,38.88412,-77.017445
4th & East Capitol St NE,12975,38.889955,-77.000349
4th & M St SW,10913,38.8767,-77.0178
4th & W St NE,1454,38.919077,-77.000648
5th & F St NW,14942,38.897222,-77.019347
5th & K St NW,18066,38.90304,-77.01902700000002
6th & H St NE,248,38.899972,-76.998347
7th & F St NW / National Portrait Gallery,15739,38.897312,-77.022325
7th & R St NW / Shaw Library,587,38.912719,-77.022155
7th & T St NW,10453,38.9155,-77.0222
8th & Eye St SE / Barracks Row,5051,38.8792,-76.9953
8th & H St NW,22762,38.8997,-77.02308599999998
9th & Upshur St NW,160,38.9418,-77.0251
Adams Mill & Columbia Rd NW,29964,38.922925,-77.04258100000001
Anacostia Library,403,38.86578400000001,-76.9784
Anacostia Metro,603,38.862669,-76.994637
Benning Branch Library,99,38.894,-76.947974
Benning Rd & East Capitol St NE / Benning Rd Metro,5,38.889935,-76.93723
Bladensburg Rd & Benning Rd NE,3693,38.900413,-76.982872
Branch & Pennsylvania Ave SE,50,38.8692,-76.9599
C & O Canal & Wisconsin Ave NW,16646,38.90375,-77.06269
California St & Florida Ave NW,390,38.917761,-77.04061999999998
Calvert & Biltmore St NW,19613,38.923203,-77.047637
Clarendon Blvd & N Fillmore St,66,38.8881,-77.09308
Clarendon Blvd & Pierce St,1766,38.893438,-77.076389
Clarendon Metro / Wilson Blvd & N Highland St,114,38.88786,-77.094875
Columbia Rd & Belmont St NW,1234,38.920669,-77.04368000000002
Columbia Rd & Georgia Ave NW,208,38.928121,-77.02379499999998
Columbus Circle / Union Station,32058,38.89696,-77.00493
Congress Heights Metro,4,38.844711,-76.98782299999998
Connecticut Ave & Newark St NW / Cleveland Park,7378,38.934267,-77.057979
Convention Center / 7th & M St NW,14329,38.905737,-77.02226999999998
Eads St & 15th St S,1171,38.858971,-77.05323
Eastern Market / 7th & North Carolina Ave SE,11966,38.886952,-76.996806
Eastern Market Metro / Pennsylvania Ave & 7th St SE,23002,38.884,-76.995397
Eckington Pl & Q St NE,3233,38.910972,-77.00495
Fairfax Village,70,38.86559000000001,-76.95210300000002
Florida Ave & R St NW,11919,38.9126,-77.0135
Georgetown Harbor / 30th St NW,11416,38.902221,-77.059219
Georgia & New Hampshire Ave NW,10045,38.936043,-77.024649
Georgia Ave and Fairmont St NW,5385,38.9249,-77.0222
Good Hope & Naylor Rd SE,185,38.860227,-76.966572
Good Hope Rd & MLK Ave SE,487,38.867373,-76.988039
Harvard St & Adams Mill Rd NW,3265,38.927872,-77.043358
John McCormack Dr & Michigan Ave NE,1278,38.9346,-76.9955
Kennedy Center,3264,38.897293,-77.05556999999997
L'Enfant Plaza / 7th & C St SW,16253,38.886266,-77.02224100000002
Lamont & Mt Pleasant NW,15587,38.9319,-77.0388
M St & New Jersey Ave SE,10680,38.8763,-77.0037
M St & Pennsylvania Ave NW,154,38.905126,-77.056887
Maine Ave & 7th St SW,5581,38.878694,-77.023054
Massachusetts Ave & Dupont Circle NW,49093,38.9101,-77.0444
Metro Center / 12th & G St NW,13594,38.898364,-77.027869
Minnesota Ave Metro/DOES,191,38.897063,-76.947446
Nannie Helen Burroughs & Minnesota Ave NE,1,38.901385,-76.941877
New Hampshire Ave & T St NW,24074,38.91554,-77.03818000000003
New York Ave & 15th St NW,16833,38.899032,-77.033354
North Capitol St & F St NW,16852,38.897446,-77.009888
Park Rd & Holmead Pl NW,18172,38.9308,-77.0315
Pennsylvania & Minnesota Ave SE,332,38.873057,-76.97101500000002
Potomac & Pennsylvania Ave SE,7945,38.8803,-76.9862
Potomac Ave & 35th St S,1,38.844015,-77.050537
Randle Circle & Minnesota Ave SE,65,38.878,-76.9607
Rhode Island & Connecticut Ave NW,982,38.905996,-77.03980200000002
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,3082,38.8946,-77.072305
Tenleytown / Wisconsin Ave & Albemarle St NW,7349,38.947607,-77.079382
Thomas Circle,1706,38.9059,-77.0325
US Dept of State / Virginia Ave & 21st St NW,10214,38.894919,-77.046587
Van Ness Metro / UDC,5812,38.944551,-77.063896
Ward Circle / American University,4482,38.938736,-77.087171
Wilson Blvd & N Edgewood St,150,38.889,-77.0925
Wilson Blvd & N Uhle St,311,38.891696,-77.0846
Wisconsin Ave & Newark St NW,7568,38.934881,-77.072755
1 Ave & E 18 St,23822,40.733812191963615,-73.9805442094803
1 Ave & E 30 St,33802,40.741443870002435,-73.97536082000211
1 Ave & E 44 St,19237,40.75001986000126,-73.96905301000206
11 Ave & W 27 St,30793,40.75139600000266,-74.00522600000122
11 Ave & W 41 St,27141,40.76030095999907,-73.99884221999731
11 Ave & W 59 St,21841,40.77149671054304,-73.99046033620834
12 Ave & W 40 St,37894,40.760875020001286,-74.00277667999788
2 Ave & E 31 St,49981,40.74290902000124,-73.97706057999375
3 Ave & Schermerhorn St,3691,40.68683207999936,-73.979677199999
5 Ave & E 29 St,33800,40.74516770000235,-73.98683077000199
6 Ave & Canal St,20582,40.722437969999454,-74.00566443000234
6 Ave & W 33 St,39610,40.74901271000219,-73.98848394999459
8 Ave & W 31 St,100498,40.75058534702816,-73.9946848154068
8 Ave & W 33 St,58711,40.75155099999617,-73.99393400000649
8 Ave & W 52 St,29839,40.76370738999781,-73.98516149999557
9 Ave & W 22 St,41360,40.745497299998725,-74.00197139000414
9 Ave & W 45 St,35266,40.760192520000466,-73.99125510000147
Adelphi St & Myrtle Ave,9828,40.69308256999885,-73.97178912999934
Allen St & Hester St,31166,40.71605865999755,-73.9919075900025
Allen St & Rivington St,34018,40.72019576000112,-73.98997824999971
Atlantic Ave & Furman St,9953,40.69165182999981,-73.9999785999998
Avenue D & E 12 St,5052,40.72580613999945,-73.97422494000048
Avenue D & E 3 St,12250,40.72082834000094,-73.97793172000075
Avenue D & E 8 St,8795,40.72368360999893,-73.97574812999946
Bank St & Hudson St,26691,40.73652888999894,-74.00618025999901
Bank St & Washington St,21157,40.73619670000164,-74.00859206999681
Barclay St & Church St,36504,40.712912239998154,-74.01020233999809
Barrow St & Hudson St,41242,40.731724280002325,-74.00674435999841
Bayard St & Baxter St,24267,40.71602117999865,-73.99974372000234
Bialystoker Pl & Delancey St,12410,40.7162264400007,-73.98261206000022
Broad St & Bridge St,10086,40.7036518200001,-74.01167796999846
Broadway & Battery Pl,22922,40.704633340000576,-74.0136170600015
Broadway & Berry St,6939,40.71044553999911,-73.96525063000037
Broadway & E 14 St,65852,40.73454567000521,-73.99074142000896
Broadway & E 22 St,60932,40.74034320000556,-73.98955108999598
Broadway & W 29 St,32879,40.74620090000083,-73.9885572300046
Broadway & W 32 St,38305,40.74854862000153,-73.98808415999875
Broadway & W 36 St,24560,40.750977110001024,-73.98765428000277
Broadway & W 37 St,22971,40.7517263199992,-73.98753523000046
Broadway & W 41 St,43369,40.75513557000161,-73.98658031999517
Broadway & W 49 St,33279,40.760683270966744,-73.98452728986742
Broadway & W 51 St,26226,40.76228825999835,-73.98336183000285
Broadway & W 53 St,21942,40.76344058000125,-73.98268129000247
Broadway & W 60 St,56115,40.7691550499964,-73.98191840999469
Bus Slip & State St,13050,40.70190699999993,-74.01394199999956
Cadman Plaza E & Red Cross Pl,5968,40.69991755000033,-73.98971773000076
Cadman Plaza West & Montague St,8576,40.69382999999841,-73.9905390000019
Canal St & Rutgers St,30332,40.714274869999095,-73.9899002499955
Carlton Ave & Park Ave,2988,40.695807050000354,-73.97355568999981
Carmine St & 6 Ave,52596,40.73038598999863,-74.00214987999544
Catherine St & Monroe St,13610,40.7111744400012,-73.99682619000279
Central Park S & 6 Ave,32894,40.765909359997025,-73.97634150999619
Centre St & Chambers St,42485,40.71273266000136,-74.00460730000424
Centre St & Worth St,19714,40.714948070000574,-74.00234481999934
Cherry St,12352,40.71219905999958,-73.9794814799987
Christopher St & Greenwich St,55320,40.73291553000101,-74.00711383999958
Clark St & Henry St,12046,40.69760127000207,-73.9934455899958
Clermont Ave & Lafayette Ave,5292,40.68764483999986,-73.96968901999945
Clermont Ave & Park Ave,4137,40.69573397999951,-73.97129667999981
Cleveland Pl & Spring St,60092,40.722103786684414,-73.99724900722505
Cliff St & Fulton St,23684,40.70831794366465,-74.0050408244133
Clinton Ave & Flushing Ave,4427,40.69794000000001,-73.96986847999959
Clinton Ave & Myrtle Ave,13420,40.69326100000032,-73.96889600000169
Clinton St & Grand St,18730,40.71559509000196,-73.98702949999401
Clinton St & Joralemon St,8109,40.69239501999983,-73.99337908999922
Columbia Heights & Cranberry St,5459,40.70037867000022,-73.99548059000044
Columbia St & Rivington St,12474,40.717399729999315,-73.98016555000162
Concord St & Bridge St,4456,40.69766564000016,-73.98476437000046
Cumberland St & Lafayette Ave,8219,40.68753406000104,-73.97265183000094
DeKalb Ave & Hudson Ave,12403,40.68988800000067,-73.98101299999797
DeKalb Ave & S Portland Ave,6833,40.68981034999956,-73.97493121000113
DeKalb Ave & Skillman St,3548,40.69064950000023,-73.95643107000052
DeKalb Ave & Vanderbilt Ave,7775,40.68940747000061,-73.96885458000143
Dean St & 4 Ave,11396,40.683124889999455,-73.97895136999828
Division St & Bowery,19385,40.714130890001584,-73.99704680000035
Duane St & Greenwich St,16349,40.71748751999985,-74.01045539999932
Duffield St & Willoughby St,6683,40.692215889999964,-73.98428439999972
E 10 St & 5 Ave,29195,40.733319669999375,-73.99510132000151
E 10 St & Avenue A,41006,40.72740793999662,-73.981420059999
E 11 St & 1 Ave,31408,40.72953836999755,-73.98426726000413
E 11 St & 2 Ave,39065,40.73047309000256,-73.98672377999745
E 11 St & Broadway,24295,40.732617870000894,-73.99158042999912
E 12 St & 3 Ave,37538,40.73223271999921,-73.98889956999508
E 13 St & Avenue A,33827,40.729667293927115,-73.98067966103555
E 15 St & 3 Ave,29743,40.73423200000176,-73.98692299999627
E 16 St & 5 Ave,38808,40.73726186000104,-73.99238966999657
E 16 St & Irving Pl,26953,40.73536705560429,-73.98797392845155
E 17 St & Broadway,80166,40.737049840004666,-73.99009296000803
E 19 St & 3 Ave,28236,40.736245270002506,-73.98473764999711
E 2 St & 2 Ave,26716,40.72502876000247,-73.99069656000127
E 2 St & Avenue B,27309,40.722174440001005,-73.98368778999678
