start_station_name,trip_count,latitude,longitude
Halsted St & North Branch St,2179,41.899368439,-87.648479875
Halsted St & Polk St,8606,41.87184,-87.64664
Halsted St & Roosevelt Rd,5011,41.867324,-87.648625
Halsted St & Roscoe St,11605,41.94367,-87.64895
Halsted St & Willow St,6047,41.913865,-87.64875500000002
Halsted St & Wrightwood Ave,9250,41.929143,-87.649077
Harper Ave & 59th St,2788,41.787942813,-87.58831517
Hermitage Ave & Polk St,6080,41.87151400000001,-87.669886
Honore St & Division St,7566,41.903119,-87.673935
Hoyne Ave & 47th St,220,41.808227,-87.67718
Hoyne Ave & Balmoral Ave,150,41.979851,-87.68193199999997
Humboldt Blvd & Armitage Ave,3960,41.917513394000004,-87.701808955
Indiana Ave & 26th St,2296,41.845687,-87.62248100000002
Indiana Ave & 31st St,3962,41.838842,-87.62185699999998
Indiana Ave & 40th St,478,41.82168,-87.6216
Indiana Ave & Roosevelt Rd,20165,41.867888,-87.623041
Jefferson St & Monroe St,8621,41.880422,-87.642746
Jeffery Blvd & 67th St,451,41.773517551,-87.577142826
Jeffery Blvd & 71st St,396,41.766638236999995,-87.576450114
Jeffery Blvd & 76th St,131,41.757120068,-87.575839359
Karlov Ave & Madison St,123,41.88085,-87.727907
Kedzie Ave & 21st St,453,41.853533632,-87.705073032
Kedzie Ave & 24th St,224,41.848190945,-87.705413746
Kedzie Ave & Bryn Mawr Ave,438,41.982397085,-87.70892252
Kedzie Ave & Chicago Ave,634,41.895465303,-87.706127884
Kedzie Ave & Foster Ave,904,41.975672,-87.709261
Kedzie Ave & Harrison St,69,41.873599675,-87.704870749
Kedzie Ave & Lake St,657,41.884603285,-87.706303744
Kedzie Ave & Leland Ave,1382,41.966686362,-87.708051981
Kedzie Ave & Milwaukee Ave,9460,41.929567,-87.70785699999998
Kedzie Ave & Palmer Ct,3692,41.921525,-87.70732199999998
Kedzie Ave & Roosevelt Rd,146,41.866492781999995,-87.706496176
Kenton Ave & Madison St,14,41.880708,-87.74101800000003
Keystone Ave & Fullerton Ave,702,41.924377,-87.72823100000002
Keystone Ave & Montrose Ave,750,41.961108016,-87.728970101
Kilbourn Ave & Irving Park Rd,656,41.953733,-87.740569
Kilbourn Ave & Milwaukee Ave,603,41.948818,-87.74002
Kildare Ave & Montrose Ave,60,41.96108,-87.73569
Kimball Ave & Belmont Ave,1473,41.939398,-87.711561
Kimbark Ave & 53rd St,7704,41.799568,-87.594747
Kingsbury St & Erie St,19812,41.893626,-87.641527
Kingsbury St & Kinzie St,34589,41.889176833,-87.638505772
Knox Ave & Montrose Ave,581,41.960631,-87.745359
Kosciuszko Park,1795,41.930585371,-87.723777364
Kostner Ave & Adams St,87,41.877917,-87.735737
Kostner Ave & Lake St,41,41.885928,-87.73541
LaSalle Dr & Huron St (*),7949,41.894877,-87.632326
LaSalle St & Adams St,6855,41.879344373,-87.63198522100002
LaSalle St & Illinois St,19816,41.890762,-87.631697
LaSalle St & Jackson Blvd,27665,41.878166,-87.631929
LaSalle St & Washington St,12358,41.882664,-87.63253
Lake Park Ave & 35th St,1731,41.831274235,-87.608799195
Lake Park Ave & 47th St,1526,41.809443,-87.591875
Lake Park Ave & 53rd St,3859,41.799494294,-87.586449896
Lake Park Ave & 56th St,4522,41.793242,-87.58778199999998
Lake Shore Dr & Belmont Ave,13189,41.940775,-87.63919200000002
Lake Shore Dr & Diversey Pkwy,11034,41.932588,-87.636427
Lake Shore Dr & Monroe St,36174,41.880958,-87.616743
Lake Shore Dr & North Blvd,31203,41.911722,-87.626804
Lake Shore Dr & Ohio St,12990,41.89257,-87.614492
Lake Shore Dr & Wellington Ave,11240,41.936669,-87.636794
Lakefront Trail & Bryn Mawr Ave,9004,41.984036696,-87.652310469
Lakefront Trail & Wilson Ave,442,41.965845,-87.645361
Lakeview Ave & Fullerton Pkwy,13453,41.92585800000001,-87.638973
Laramie Ave & Gladys Ave,32,41.875806,-87.755285
